#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore
Ag055G4912800	AT3G48590.1	218	235	100	100	235	80.000	317
Ag055G4912900	AT3G48580.1	276	278	99	100	278	77.698	446
Ag055G4913000	AT3G48560.1	667	671	96	100	640	89.583	1163
Ag055G4913500	AT3G48550.1	152	159	100	100	165	78.788	216
Ag055G4913700	AT3G48540.1	231	233	100	100	233	87.124	423
Ag055G4914300;Ag055G4914700	AT2G26560.1	406	408	99	97	396	86.567	719
Ag055G4916000	AT3G48530.1	425	425	100	100	425	89.882	791
Ag055G4917500	AT3G48500.2	668	698	100	100	698	86.963	1202
Ag055G4917900	AT3G48480.1	303	299	94	95	285	70.877	425
Ag055G4918200	AT3G48470.1	1013	1028	100	100	1038	81.214	1660
Ag055G4918600	AT3G48460.1	375	382	100	100	382	80.105	640
Ag055G4919500	AT3G48430.1	1389	1361	100	100	1400	79.000	2164
Ag055G4919600	AT3G48425.1	363	365	100	100	365	87.945	675
Ag055G4919700	AT3G48420.1	316	320	91	100	292	83.540	500
Ag055G4919800	AT3G48410.2	369	428	99	88	377	79.045	621
Ag055G4919900	AT3G48390.1	675	634	100	100	676	78.698	1059
Ag055G4920000	AT3G48380.3	646	654	100	100	654	84.709	1131
Ag055G4920200	AT3G48350.1	368	365	100	100	369	82.927	637
Ag055G4920900	AT3G48340.1	356	362	100	100	362	88.122	661
Ag055G4921000	AT3G48330.4	231	284	100	81	231	88.312	431
Ag055G4921300	AT3G48300.2	491	486	95	99	466	70.576	694
Ag055G4921400	AT3G48260.1	514	517	100	100	518	90.541	968
Ag055G4922000	AT3G48250.1	605	622	99	99	620	76.452	986
Ag055G4922300	AT3G48240.1	171	181	96	94	177	75.706	253
Ag055G4922600	AT3G48210.1	312	316	100	100	316	76.266	468
Ag055G4923000	AT3G48200.1	1091	1089	100	100	1091	88.451	1878
Ag055G4923200	AT3G48195.1	899	939	98	99	928	73.168	1310
Ag055G4923300	AT3G47890.1	1593	1569	99	99	1602	77.778	2482
Ag055G4923700	AT3G47930.1	610	611	100	100	611	90.835	1104
Ag055G4923800	AT3G47940.1	347	351	100	100	352	80.966	548
Ag055G4923900	AT3G47960.1	641	637	100	100	649	83.359	1069
Ag055G4924500	AT3G47980.1	252	253	100	100	259	76.448	324
Ag055G4924600	AT3G47990.1	359	359	100	100	359	93.036	677
Ag055G4924700	AT3G48000.1	536	539	100	100	539	92.022	999
Ag055G4925200	AT3G48010.1	711	706	100	100	712	90.730	1297
Ag055G4926700	AT1G24420.1	435	437	99	100	441	75.964	632
Ag055G4927100	AT3G48070.2	309	351	99	91	323	79.567	433
Ag055G4927600	AT3G48140.1	89	89	100	100	89	89.888	167
Ag055G4927900	AT3G48150.1	580	580	100	100	580	95.000	1154
Ag055G4928000	AT3G48160.2	390	404	99	98	395	82.025	610
Ag055G4928100	AT3G48170.1	504	504	100	100	504	94.643	989
Ag055G4928200	AT3G48180.1	73	78	96	94	73	76.712	103
Ag055G4929900	AT3G48190.2	3011	3014	100	100	3025	86.678	5415
Ag055G4930400	AT3G47860.1	319	354	98	98	342	76.149	501
Ag055G4930700	AT3G47850.1	320	353	100	92	333	73.574	431
Ag055G4930900	AT3G47833.1	100	94	94	98	94	88.298	143
Ag055G4931100	AT3G47830.1	286	294	99	99	292	79.110	481
Ag055G4931300	AT3G47820.1	518	532	100	100	532	85.150	820
Ag055G4931400	AT3G47810.1	191	191	100	100	191	95.288	374
Ag055G4931500	AT3G32980.1	354	353	100	100	354	88.983	659
Ag055G4932000	AT3G47800.1	359	359	100	100	359	82.730	607
Ag074G5266300;Ag035G4082500	AT2G01060.1	302	287	92	100	287	88.502	489
Ag074G5266500;Ag035G4082300	AT2G01080.1	240	232	100	100	240	86.667	320
Ag074G5267300;Ag035G4081100	AT2G01110.1	324	341	100	100	344	78.488	471
Ag074G5267400	AT2G01120.2	411	425	99	98	416	81.731	679
Ag074G5269300;Ag035G4078900	AT2G01450.1	481	487	100	100	487	95.688	967
Ag074G5269500;Ag035G4077500	AT2G01540.1	181	181	100	93	169	94.475	340
Ag074G5270000;Ag035G4077100	AT2G01480.1	565	568	100	100	568	93.134	1115
Ag074G5270400;Ag035G4076700	AT2G01630.1	502	502	96	98	485	92.261	905
Ag074G5270600;Ag035G4076300	AT2G01680.1	534	533	100	100	534	89.700	988
Ag074G5270700;Ag035G4076200	AT2G01690.2	730	745	100	100	745	92.215	1367
Ag074G5271200	AT2G01720.1	468	465	99	100	465	89.462	845
Ag074G5271300;Ag035G4075200	AT2G01750.2	595	631	97	94	586	90.102	1042
Ag074G5271400	AT2G02220.1	997	1009	99	99	1006	82.803	1620
Ag074G5272000	AT2G02140.1	74	74	100	100	74	75.676	100
Ag074G5272200	AT2G02090.1	737	764	100	100	767	87.353	1314
Ag074G5272800	AT2G02070.1	585	603	92	100	561	84.452	774
Ag074G5273600	AT2G02040.1	583	586	99	99	583	94.854	1149
Ag074G5273800	AT2G01970.1	593	593	100	100	593	97.302	1198
Ag074G5274200	AT2G01950.1	1144	1144	100	95	1091	90.949	1986
Ag074G5275100	AT2G01940.3	440	447	99	99	450	86.889	674
Ag074G5275700	AT2G01905.1	235	235	99	99	232	81.897	372
Ag074G5275800	AT2G01910.1	602	609	99	99	607	86.985	1063
Ag074G5276300	AT2G01830.2	1040	1081	99	93	1011	86.461	1862
Ag074G5276500	AT2G01820.1	951	944	100	100	955	80.105	1487
Ag074G5277500	AT2G02450.2	399	415	100	100	422	77.251	579
Ag074G5278000	AT1G32580.1	223	230	100	100	230	85.652	413
Ag005G0784800	AT5G40530.3	286	311	93	91	284	80.546	460
Ag005G0785200	AT5G40510.2	326	370	100	90	334	81.138	565
Ag005G0785300	AT5G40500.1	112	124	100	100	124	77.419	193
Ag005G0785400	AT5G40490.1	413	424	57	55	236	94.068	438
Ag005G0786200	AT5G40480.1	1925	1924	99	99	1916	83.532	3297
Ag005G0786700	AT1G28010.1	1230	1248	100	100	1248	85.176	2139
Ag005G0788400	AT5G40440.1	520	521	99	99	519	92.871	1003
Ag005G0789000	AT5G40420.1	199	200	97	97	197	82.234	275
Ag005G0789200	AT5G40400.2	603	682	99	86	585	77.000	913
Ag005G0789300	AT5G40390.1	780	784	100	100	786	87.405	1419
Ag005G0789500	AT5G40382.1	66	66	100	100	66	92.424	127
Ag005G0789700	AT5G40380.1	647	652	97	98	632	78.639	1009
Ag005G0790200	AT5G40370.2	112	137	86	70	96	84.375	177
Ag047G4537700	AT4G30400.1	452	473	100	100	478	79.707	619
Ag047G4541000	AT4G30480.2	270	278	100	100	286	77.273	397
Ag047G4541300	AT4G30490.1	502	498	99	99	500	86.600	904
Ag047G4541400	AT2G23940.1	174	174	100	100	174	86.207	324
Ag047G4541500	AT2G44510.1	316	327	99	99	328	74.390	451
Ag047G4542000	AT4G30530.1	250	251	100	100	251	82.869	438
Ag047G4544900	AT4G30550.1	247	250	100	99	248	88.710	456
Ag047G4545000	AT4G30560.1	735	734	99	99	734	90.191	1361
Ag047G4545100	AT4G30580.1	357	357	99	99	356	83.427	592
Ag047G4545500	AT4G30600.1	631	635	100	100	638	90.596	1120
Ag047G4545900	AT4G30610.1	468	466	98	96	449	85.470	801
Ag047G4546000	AT4G30620.1	184	181	100	100	184	86.957	319
Ag047G4548100	AT4G30670.1	100	103	100	100	107	71.028	66.2
Ag013G1340400	AT5G18170.1	412	412	100	100	412	95.388	815
Ag013G1340600	AT5G18150.1	81	77	100	100	81	80.247	128
Ag013G1340700	AT5G18140.1	322	334	100	100	337	74.481	458
Ag013G1340800	AT5G37000.1	541	555	100	100	558	73.297	823
Ag013G1341300	AT5G18120.1	290	290	100	100	292	84.247	498
Ag013G1341400	AT5G18110.1	227	222	100	100	227	86.344	403
Ag013G1341500	AT5G18100.1	162	165	99	98	161	90.062	294
Ag013G1341900	AT5G18070.1	548	557	99	99	555	83.964	941
Ag013G1342500	AT5G34940.2	525	537	100	100	537	75.419	855
Ag013G1343000	AT5G17990.1	431	445	98	96	430	85.814	676
Ag013G1343400	AT5G17980.1	1043	1050	100	100	1053	89.174	1880
Ag013G1343600	AT2G27190.1	472	470	99	99	470	86.383	858
Ag013G1344000	AT1G47570.1	464	467	99	97	454	86.207	829
Ag013G1344800	AT5G17930.1	766	785	99	99	783	78.289	1135
Ag013G1344900	AT5G17920.1	766	766	100	100	766	97.258	1547
Ag013G1345100	AT4G08580.1	434	436	100	100	436	87.615	624
Ag013G1345200	AT5G17870.2	105	130	100	82	108	81.481	176
Ag013G1345300	AT5G17860.1	579	571	100	97	565	86.254	956
Ag013G1346000	AT5G17850.1	561	560	99	99	560	78.929	820
Ag013G1346300	AT5G17840.1	155	155	100	100	155	86.452	251
Ag013G1346600	AT5G17820.2	311	367	99	84	309	90.291	555
Ag013G1348500	AT5G17790.1	737	759	100	100	766	72.846	1085
Ag013G1348600	AT5G17780.2	415	420	98	99	419	78.520	654
Ag013G1348700	AT5G17770.1	282	282	100	100	282	91.844	517
Ag013G1348800	AT5G17760.1	495	506	100	100	506	88.340	854
Ag013G1350200	AT5G17740.1	547	534	93	90	487	72.530	742
Ag013G1351800	AT5G17720.1	458	444	99	99	452	75.000	678
Ag013G1352400	AT5G17710.2	331	327	96	98	317	88.715	515
Ag013G1353000	AT5G17700.1	498	498	100	100	498	87.952	892
Ag013G1355400	AT5G17690.3	408	453	83	78	353	72.521	486
Ag013G1355500	AT5G17680.2	1303	1296	99	99	1292	80.573	2140
Ag013G1355600	AT5G17670.1	305	310	100	100	314	85.669	513
Ag013G1355700	AT5G17660.1	303	313	98	97	305	82.623	503
Ag013G1355900	AT5G17640.1	433	433	100	100	434	88.940	751
Ag013G1356000	AT5G17630.1	401	418	100	100	419	86.635	669
Ag013G1356100	AT5G17620.1	330	330	100	100	330	96.970	657
Ag013G1356200	AT5G17610.1	121	122	100	100	122	84.426	190
Ag013G1358300	AT5G17580.2	556	564	99	99	558	72.581	764
Ag013G1358400	AT5G17570.1	326	326	100	100	326	85.890	589
Ag013G1358700	AT5G17560.1	177	178	100	100	183	79.781	262
Ag013G1359200	AT5G17550.1	246	246	100	100	246	89.024	434
Ag013G1360500	AT5G17530.4	606	639	99	99	637	85.243	1093
Ag013G1361100	AT5G17520.1	406	416	100	100	416	81.731	655
Ag013G1361700	AT5G17510.1	383	370	86	86	331	84.894	504
Ag013G1362900	AT5G17500.1	530	527	100	100	530	83.962	919
Ag013G1363000	AT5G17490.1	512	524	99	99	534	74.532	774
Ag013G1363100	AT5G17480.1	84	84	100	100	84	92.857	155
Ag013G1363500	AT5G17460.1	307	310	100	100	311	79.421	483
Ag013G1363700	AT5G17450.1	150	150	100	100	150	93.333	281
Ag013G1364000	AT5G66890.1	420	416	100	100	420	73.810	624
Ag013G1364100	AT5G17440.1	405	405	93	93	377	94.695	617
Ag013G1364400	AT5G17430.1	577	585	99	99	596	76.846	817
Ag013G1364600	AT5G17420.1	1037	1027	100	100	1038	95.954	2060
Ag013G1364700	AT5G17410.2	675	680	100	99	677	95.569	1335
Ag013G1364800	AT5G17400.1	310	307	98	99	304	93.092	567
Ag013G1364900	AT5G17390.1	288	286	100	100	288	85.764	415
Ag013G1365100	AT5G17380.1	575	573	100	100	575	93.565	1090
Ag013G1365400	AT2G05840.1	247	247	100	100	247	97.166	502
Ag013G1365700	AT5G17350.1	180	184	100	100	186	75.806	251
Ag013G1367000	AT5G17330.1	503	503	100	100	503	93.241	981
Ag013G1368400	AT5G17300.1	386	388	96	100	377	82.653	570
Ag013G1368500	AT5G17290.1	337	338	100	100	341	85.044	597
Ag013G1368600	AT5G17270.1	897	900	100	100	901	87.458	1587
Ag013G1368800	AT5G17260.1	498	477	100	100	500	77.400	771
Ag013G1369000	AT5G17250.1	932	947	99	99	943	85.472	1644
Ag013G1369100	AT5G17240.1	516	492	99	99	510	78.431	810
Ag013G1369200	AT5G17230.3	423	438	99	98	429	89.510	734
Ag013G1369400	AT5G17220.1	215	215	99	99	213	83.568	382
Ag013G1369500	AT5G17210.1	214	210	100	100	214	79.439	331
Ag013G1369700	AT5G17200.1	432	422	99	99	427	70.492	611
Ag013G1370000	AT5G17170.1	272	272	100	100	272	87.868	466
Ag013G1370900	AT1G04640.1	236	236	100	100	236	93.220	457
Ag013G1372000	AT5G17070.1	265	278	92	88	246	77.642	350
Ag013G1372100	AT5G17060.1	193	193	100	100	193	98.964	395
Ag013G1372200	AT5G17050.1	461	461	97	99	455	81.538	773
Ag013G1373300	AT5G17020.1	1077	1076	100	100	1077	96.379	2156
Ag013G1373400	AT5G17010.1	503	504	100	100	504	92.262	887
Ag013G1373500	AT5G16970.1	347	346	99	99	345	86.377	630
Ag013G1373700	AT5G17000.1	348	346	99	99	345	85.797	621
Ag013G1373800	AT5G16960.1	352	347	96	98	339	87.021	612
Ag013G1374000	AT3G48270.1	490	490	100	100	490	75.714	759
Ag013G1374100	AT5G16940.1	136	136	100	100	136	90.441	264
Ag013G1374200	AT5G16930.1	635	645	99	99	644	89.441	1147
Ag013G1374800	AT5G16890.1	508	512	96	99	492	88.189	891
Ag013G1374900	AT5G16880.1	418	408	100	100	418	90.431	702
Ag013G1375000	AT5G16870.1	169	170	100	100	170	87.059	291
Ag013G1375100	AT5G16860.1	854	851	100	100	854	84.660	1509
Ag013G1375200	AT5G16850.1	1124	1124	100	100	1129	74.402	1704
Ag013G1375300	AT5G16840.2	265	261	99	98	264	84.091	397
Ag013G1375900	AT2G26480.1	455	453	97	99	451	74.279	645
Ag013G1376200	AT1G76690.1	373	375	100	99	373	85.255	685
Ag013G1376300	AT5G16830.1	282	280	95	95	269	84.758	441
Ag013G1376400	AT5G16820.1	454	482	100	100	485	79.175	725
Ag013G1376500	AT5G16810.1	421	419	99	99	419	86.874	739
Ag013G1378400	AT5G16800.3	271	274	100	100	274	83.942	467
Ag013G1378500	AT5G16780.1	817	821	100	100	834	81.535	1253
Ag013G1378600	AT5G16770.1	324	337	100	100	341	81.818	511
Ag013G1380400	AT5G16760.1	322	320	100	100	322	92.547	610
Ag013G1380500	AT5G16750.1	872	877	99	99	871	90.586	1564
Ag013G1380600	AT5G16740.1	436	427	99	99	430	85.349	717
Ag013G1380800	AT5G16730.1	840	854	98	100	832	81.988	1174
Ag013G1382000	AT5G16720.1	665	676	100	100	709	71.368	899
Ag013G1382100	AT5G16715.1	976	975	100	100	976	93.238	1867
Ag013G1382200	AT5G16710.1	257	259	100	100	259	86.486	456
Ag013G1382500	AT5G16690.1	735	735	100	100	735	87.755	1291
Ag013G1382700	AT5G16660.1	165	169	100	100	169	84.024	272
Ag013G1382800	AT5G16650.2	126	168	98	73	124	91.129	239
Ag013G1383200	AT5G16630.1	888	866	99	99	892	75.112	1153
Ag013G1383300	AT5G16620.1	443	448	100	100	448	89.286	660
Ag013G1383900	AT5G16600.1	333	328	100	100	334	82.335	507
Ag013G1384000	AT5G16590.1	622	626	99	98	618	86.667	1033
Ag013G1384500	AT5G16570.1	357	357	100	100	357	92.157	688
Ag013G1384800	AT5G16560.1	396	404	100	99	413	80.630	574
Ag013G1384900	AT5G16550.1	240	250	100	100	256	71.484	318
Ag013G1386000	AT5G16530.1	351	352	100	100	356	89.607	632
Ag013G1386200	AT5G16520.1	615	609	100	100	618	83.495	1055
Ag013G1386300	AT5G16510.1	349	349	100	100	349	93.410	683
Ag013G1386800	AT5G16490.1	152	154	100	100	154	78.571	231
Ag013G1386900	AT1G24470.1	306	313	99	97	305	84.590	526
Ag013G1387100	AT5G16480.1	205	205	99	99	204	93.627	397
Ag013G1387200	AT5G16470.1	104	105	100	100	105	95.238	194
Ag013G1387700	AT5G16460.1	366	369	88	92	322	79.191	561
Ag013G1387800	AT5G16450.1	167	167	100	100	167	97.605	328
Ag013G1387900	AT5G16440.1	281	292	99	99	290	81.017	486
Ag013G1388300	AT5G16420.1	534	536	100	100	536	79.291	861
Ag013G1388400	AT5G16410.1	453	482	99	94	453	75.938	697
Ag013G1389000	AT5G16400.1	187	186	100	100	189	82.540	311
Ag013G1389100	AT5G16390.1	284	281	99	95	274	84.615	368
Ag013G1389200	AT5G16380.1	188	196	98	98	195	75.897	293
Ag013G1389300	AT5G16370.1	553	553	100	100	554	90.072	1027
Ag013G1389900	AT3G63410.1	333	339	100	100	340	85.294	568
Ag013G1391400	AT5G16330.1	245	243	94	95	233	73.820	334
Ag013G1392100	AT5G16310.1	337	335	98	99	332	86.446	582
Ag013G1392200	AT5G16300.1	1087	1069	100	100	1090	86.330	1945
Ag013G1392300	AT5G16290.1	480	478	100	100	480	89.583	881
Ag013G1392800	AT5G16280.1	1277	1273	100	100	1281	87.432	2253
Ag013G1392900	AT5G16270.1	1020	1032	100	100	1056	78.220	1555
Ag013G1393000	AT5G16260.1	519	520	98	99	520	81.923	838
Ag013G1393300	AT5G16250.1	187	184	100	100	187	86.631	313
Ag013G1393600	AT5G16230.1	401	402	100	100	408	88.480	731
Ag013G1394700	AT5G16210.1	1185	1181	100	100	1185	89.283	2131
Ag013G1394800	AT5G16200.1	164	164	100	100	168	81.548	255
Ag013G1395000	AT5G16190.4	507	538	100	100	540	82.222	905
Ag013G1395200	AT5G16180.1	695	721	99	94	695	80.288	1098
Ag013G1395600	AT2G32235.1	285	311	100	97	309	70.550	354
Ag013G1395700	AT5G16170.1	403	412	100	100	413	79.661	665
Ag013G1395800	AT5G16160.1	140	134	91	87	116	75.862	167
Ag013G1395900	AT5G16150.1	543	547	100	100	549	90.893	946
Ag013G1396200	AT5G16140.1	241	241	100	100	241	88.382	436
Ag013G1396300	AT5G16130.1	191	191	100	100	191	95.288	373
Ag013G1396400	AT5G16120.4	382	384	100	100	386	85.492	671
Ag013G1396500	AT5G16110.1	179	245	100	73	184	82.065	288
Ag013G1397200	AT5G16080.1	337	345	99	99	343	82.507	556
Ag013G1397400	AT5G48470.1	393	398	100	100	398	88.442	721
Ag013G1397500	AT5G16070.1	536	536	99	99	535	97.383	1069
Ag013G1397600	AT5G16060.1	96	96	100	100	96	88.542	179
Ag013G1397800	AT5G16040.1	409	397	97	99	396	89.899	720
Ag013G1397900	AT5G16030.3	329	348	100	100	354	70.621	428
Ag013G1398700	AT5G16020.1	648	642	99	95	623	80.062	990
Ag013G1398800	AT5G16010.1	266	269	100	100	269	75.093	407
Ag013G1399600	AT5G16000.1	638	639	100	100	639	90.610	1184
Ag013G1400100	AT5G15980.1	653	669	99	99	661	70.802	902
Ag013G1400800	AT5G15950.1	368	363	99	99	365	86.849	640
Ag013G1401700	AT5G15940.2	371	366	97	98	360	70.833	506
Ag013G1402300	AT5G15930.1	357	357	99	99	355	90.986	632
Ag013G1402400	AT5G15920.1	1054	1054	100	100	1055	86.919	1868
Ag013G1402500	AT4G24630.1	411	408	100	100	415	79.036	677
Ag013G1402600	AT5G15910.1	271	270	100	100	271	90.775	454
Ag013G1402900	AT5G15900.2	429	446	100	96	432	80.093	717
Ag013G1403100	AT5G15880.1	346	349	100	100	350	88.571	612
Ag013G1403200	AT2G36430.1	457	449	100	100	457	80.963	742
Ag013G1403500	AT5G15870.1	738	746	100	100	748	83.845	1197
Ag013G1403900	AT5G15860.1	436	428	100	100	437	86.499	760
Ag013G1404000	AT5G15850.1	355	356	100	100	362	73.757	479
Ag013G1404300	AT5G15830.1	193	187	100	100	194	85.052	282
Ag013G1404800	AT5G15810.1	595	594	93	100	552	88.591	1075
Ag013G1404900	AT5G15802.1	100	100	100	100	100	90.000	179
Ag013G1405200	AT3G02310.1	251	251	100	100	252	86.508	446
Ag013G1405300	AT5G15790.4	232	264	99	88	233	78.970	330
Ag013G1405800	AT5G15770.1	161	150	91	97	147	78.912	242
Ag013G1406000	AT5G15760.1	175	184	100	100	184	73.913	256
Ag013G1406100	AT5G15750.1	183	183	100	100	183	87.432	338
Ag013G1406300	AT5G15740.1	512	509	96	99	503	91.451	946
Ag013G1407100	AT5G15730.2	435	437	99	99	436	88.532	756
Ag013G1407200	AT5G15720.1	368	365	100	100	368	83.967	628
Ag013G1407300	AT5G15710.1	444	449	99	99	447	94.183	863
Ag013G1407400	AT3G28960.1	411	406	99	100	406	87.685	720
Ag013G1408200	AT5G15700.2	984	1052	99	96	1011	74.580	1499
Ag013G1408600	AT5G15680.1	1390	2154	100	65	1392	95.690	2768
Ag013G1408900	AT5G15650.1	364	361	100	100	364	96.978	728
Ag013G1409100	AT5G15640.1	324	324	100	100	324	92.284	619
Ag013G1409200	AT4G28380.1	392	392	100	100	397	83.627	645
Ag013G1409300	AT5G15630.1	433	432	96	99	417	92.841	822
Ag013G1409400	AT5G15610.1	415	443	100	100	444	83.559	744
Ag013G1410000	AT5G15600.1	123	128	97	95	121	84.298	162
Ag013G1410600	AT5G15580.1	923	928	100	100	934	81.478	1381
Ag013G1410700	AT5G15570.1	374	382	100	100	382	72.513	564
Ag013G1411100	AT5G15550.1	434	434	100	98	425	84.941	746
Ag013G1411500	AT5G15540.1	1874	1847	100	100	1874	85.539	3169
Ag013G1411700	AT5G15530.1	257	256	100	100	258	82.558	397
Ag013G1412000	AT5G15510.2	483	520	91	87	459	75.599	618
Ag013G1413000	AT5G15490.1	481	481	100	100	481	95.842	959
Ag013G1413200	AT5G15470.1	533	533	100	100	533	93.433	1023
Ag013G1413400	AT5G15450.1	968	969	99	99	964	95.228	1875
Ag013G1413500	AT5G15440.1	298	294	98	99	293	93.857	575
Ag013G1413700	AT5G15410.1	731	727	100	100	735	85.714	1249
Ag013G1413800	AT5G15400.1	1039	1039	100	100	1041	92.699	1963
Ag013G1415900	AT5G15390.1	346	351	98	98	345	82.319	565
Ag013G1416200	AT5G15350.1	173	173	99	99	171	83.041	285
Ag013G1416300	AT5G15340.1	618	624	100	100	624	85.577	1098
Ag013G1416400	AT5G15330.2	320	388	100	82	326	83.129	525
Ag013G1416700	AT5G15320.1	50	54	100	100	54	83.333	82.8
Ag013G1417100	AT5G15310.1	328	327	100	100	333	87.087	577
Ag013G1417200	AT5G15300.1	543	549	99	99	542	83.948	970
Ag013G1417400	AT5G15280.1	1225	1228	99	100	1221	72.470	1737
Ag013G1418300	AT5G15270.1	551	549	99	99	548	90.693	929
Ag013G1418400	AT5G15265.1	81	84	93	93	75	74.667	100
Ag013G1418700	AT5G15260.1	222	235	100	94	222	80.851	358
Ag013G1418800	AT5G15250.1	681	689	100	100	690	87.246	1194
Ag013G1419000	AT5G15240.1	428	424	100	100	428	88.318	774
Ag013G1419100	AT5G15230.1	113	107	100	100	113	84.071	184
Ag013G1419500	AT5G15220.1	157	155	98	99	154	86.364	250
Ag013G1419800	AT5G15200.1	198	199	100	100	199	96.482	390
Ag013G1420100	AT5G15180.1	330	330	100	100	330	78.182	517
Ag013G1420400	AT5G15170.1	618	606	100	100	618	83.495	1060
Ag013G1420700	AT5G15160.1	95	95	98	98	93	96.774	174
Ag013G1421300	AT5G15150.1	314	315	100	100	319	93.417	551
Ag013G1421600	AT5G15140.1	471	491	72	100	337	73.428	603
Ag013G1422100	AT5G15130.1	562	549	100	100	565	82.301	836
Ag013G1422200	AT5G15120.1	312	294	100	100	316	72.152	447
Ag013G1422500	AT5G15110.1	520	473	100	100	520	77.115	800
Ag013G1422700	AT5G15100.1	369	368	99	99	369	75.068	538
Ag013G1423500	AT5G15090.1	278	275	99	100	277	77.978	452
Ag013G1423600	AT5G15080.1	500	494	100	100	503	87.873	874
Ag013G1423700	AT5G15070.2	1056	1060	100	100	1067	91.659	2021
Ag013G1424700	AT5G15050.1	438	435	100	100	438	90.411	783
Ag013G1424900	AT5G15020.1	1370	1368	100	100	1389	82.289	2222
Ag013G1425000	AT5G15010.1	573	573	100	100	577	80.416	943
Ag013G1425500	AT5G14990.1	682	667	100	100	716	70.531	900
Ag013G1425600	AT5G14980.1	337	328	97	99	327	86.850	565
Ag013G1425700	AT5G14970.1	356	356	100	100	360	84.722	580
Ag013G1427000	AT5G14950.1	1178	1174	99	99	1176	90.391	2168
Ag013G1427300	AT5G14940.1	550	553	100	100	556	87.410	968
Ag013G1427400	AT5G48070.1	290	283	100	100	290	83.103	509
Ag013G1428000	AT4G30270.1	268	270	99	98	266	89.474	502
Ag013G1429500	AT5G14910.1	184	179	100	100	184	82.065	283
Ag013G1432000	AT5G14895.1	175	172	97	97	171	82.456	283
Ag013G1432100	AT5G14890.1	482	483	100	100	484	87.603	809
